Function,CPU Time,CPU Time:Effective Time,CPU Time:Spin Time,CPU Time:Overhead Time,Module,Function (Full),Source File,Start Address
__GI__IO_fread,0.020000,0.020000,0.0,0.0,libc.so.6,__GI__IO_fread,iofread.c,0x22b57
method_vectorcall_NOARGS,0.000751,0.000751,0.0,0.0,python3.8,method_vectorcall_NOARGS,descrobject.c,0x4367ea
