Function,CPU Time,CPU Time:Effective Time,CPU Time:Spin Time,CPU Time:Overhead Time,Module,Function (Full),Source File,Start Address
DOUBLE_multiply_AVX2,0.209128,0.209128,0.0,0.0,_multiarray_umath.cpython-38-x86_64-linux-gnu.so,DOUBLE_multiply_AVX2,[Unknown],0x9a960
_aligned_contig_cast_double_to_float,0.120000,0.120000,0.0,0.0,_multiarray_umath.cpython-38-x86_64-linux-gnu.so,_aligned_contig_cast_double_to_float,[Unknown],0x258360
munmap,0.010000,0.010000,0.0,0.0,libc.so.6,munmap,syscall-template.S,0x118b90
