Function,CPU Time,CPU Time:Effective Time,CPU Time:Spin Time,CPU Time:Overhead Time,Module,Function (Full),Source File,Start Address
DOUBLE_multiply_AVX2,0.147001,0.147001,0.0,0.0,_multiarray_umath.cpython-38-x86_64-linux-gnu.so,DOUBLE_multiply_AVX2,[Unknown],0x9a960
_aligned_contig_cast_double_to_float,0.137997,0.137997,0.0,0.0,_multiarray_umath.cpython-38-x86_64-linux-gnu.so,_aligned_contig_cast_double_to_float,[Unknown],0x258360
_aligned_contig_cast_float_to_double,0.053330,0.053330,0.0,0.0,_multiarray_umath.cpython-38-x86_64-linux-gnu.so,_aligned_contig_cast_float_to_double,[Unknown],0x2560f0
npyiter_copy_to_buffers,0.011649,0.011649,0.0,0.0,_multiarray_umath.cpython-38-x86_64-linux-gnu.so,npyiter_copy_to_buffers,[Unknown],0x297850
