Function,CPU Time,CPU Time:Effective Time,CPU Time:Spin Time,CPU Time:Overhead Time,Module,Function (Full),Source File,Start Address
NI_FindObjects,0.137982,0.137982,0.0,0.0,_nd_image.cpython-38-x86_64-linux-gnu.so,NI_FindObjects,[Unknown],0xf570
__pyx_fuse_2__pyx_f_9_ni_label_fused_read_line,0.123384,0.123384,0.0,0.0,_ni_label.cpython-38-x86_64-linux-gnu.so,__pyx_fuse_2__pyx_f_9_ni_label_fused_read_line,[Unknown],0xb930
__pyx_fuse_2__pyx_f_9_ni_label_fused_write_line,0.100599,0.100599,0.0,0.0,_ni_label.cpython-38-x86_64-linux-gnu.so,__pyx_fuse_2__pyx_f_9_ni_label_fused_write_line,[Unknown],0xbbb0
__pyx_f_9_ni_label_label_line_with_neighbor,0.064031,0.064031,0.0,0.0,_ni_label.cpython-38-x86_64-linux-gnu.so,__pyx_f_9_ni_label_label_line_with_neighbor,[Unknown],0xe760
__pyx_fuse_4__pyx_f_9_ni_label_fused_nonzero_line,0.056003,0.056003,0.0,0.0,_ni_label.cpython-38-x86_64-linux-gnu.so,__pyx_fuse_4__pyx_f_9_ni_label_fused_nonzero_line,[Unknown],0xb790
__pyx_pw_9_ni_label_7_label,0.056001,0.056001,0.0,0.0,_ni_label.cpython-38-x86_64-linux-gnu.so,__pyx_pw_9_ni_label_7_label,[Unknown],0x32ba0
UBYTE_greater_AVX2,0.023576,0.023576,0.0,0.0,_multiarray_umath.cpython-38-x86_64-linux-gnu.so,UBYTE_greater_AVX2,[Unknown],0xc0700
UBYTE_equal_AVX2,0.020000,0.020000,0.0,0.0,_multiarray_umath.cpython-38-x86_64-linux-gnu.so,UBYTE_equal_AVX2,[Unknown],0xc2620
INT_maximum_AVX2,0.019985,0.019985,0.0,0.0,_multiarray_umath.cpython-38-x86_64-linux-gnu.so,INT_maximum_AVX2,[Unknown],0xa9eb0
PyContextVar_Get,0.012015,0.012015,0.0,0.0,python3.8,PyContextVar_Get,context.c,0x4707f3
count_nonzero_u8,0.011839,0.011839,0.0,0.0,_multiarray_umath.cpython-38-x86_64-linux-gnu.so,count_nonzero_u8,[Unknown],0x22cb30
array_boolean_subscript,0.007994,0.007994,0.0,0.0,_multiarray_umath.cpython-38-x86_64-linux-gnu.so,array_boolean_subscript,[Unknown],0x2792e0
