Function,CPU Time,CPU Time:Effective Time,CPU Time:Spin Time,CPU Time:Overhead Time,Module,Function (Full),Source File,Start Address
jpeg_idct_16x16,2.074528,2.074528,0.0,0.0,libjpeg.so.9,jpeg_idct_16x16,[Unknown],0x2b2f0
__memmove_avx_unaligned_erms,1.811991,1.811991,0.0,0.0,libc.so.6,__memmove_avx_unaligned_erms,memmove-vec-unaligned-erms.S,0x18b910
ycc_rgb_convert,1.277423,1.277423,0.0,0.0,libjpeg.so.9,ycc_rgb_convert,[Unknown],0x15d10
jpeg_idct_islow,0.534091,0.534091,0.0,0.0,libjpeg.so.9,jpeg_idct_islow,[Unknown],0x27860
__libc_calloc,0.451510,0.451510,0.0,0.0,libc.so.6,__libc_calloc,malloc.c,0x9bb10
ImagingUnpackRGB,0.311950,0.311950,0.0,0.0,_imaging.cpython-38-x86_64-linux-gnu.so,ImagingUnpackRGB,[Unknown],0x61ac0
decode_mcu,0.196015,0.196015,0.0,0.0,libjpeg.so.9,decode_mcu,[Unknown],0x18840
decompress_onepass,0.088001,0.088001,0.0,0.0,libjpeg.so.9,decompress_onepass,[Unknown],0x15360
jpeg_fill_bit_buffer,0.024001,0.024001,0.0,0.0,libjpeg.so.9,jpeg_fill_bit_buffer,[Unknown],0x17250
__memset_avx2_unaligned_erms,0.023961,0.023961,0.0,0.0,libc.so.6,__memset_avx2_unaligned_erms,memset-vec-unaligned-erms.S,0x18bd90
_copy,0.007998,0.007998,0.0,0.0,_imaging.cpython-38-x86_64-linux-gnu.so,_copy,[Unknown],0x34750
