Function,CPU Time,CPU Time:Effective Time,CPU Time:Spin Time,CPU Time:Overhead Time,Module,Function (Full),Source File,Start Address
jpeg_idct_16x16,2.177619,2.177619,0.0,0.0,libjpeg.so.9,jpeg_idct_16x16,[Unknown],0x2b2f0
ycc_rgb_convert,1.197430,1.197430,0.0,0.0,libjpeg.so.9,ycc_rgb_convert,[Unknown],0x15d10
__memmove_avx_unaligned_erms,1.178000,1.178000,0.0,0.0,libc.so.6,__memmove_avx_unaligned_erms,memmove-vec-unaligned-erms.S,0x18b910
ImagingUnpackRGB,0.743987,0.743987,0.0,0.0,_imaging.cpython-38-x86_64-linux-gnu.so,ImagingUnpackRGB,[Unknown],0x61ac0
__libc_calloc,0.534559,0.534559,0.0,0.0,libc.so.6,__libc_calloc,malloc.c,0x9bb10
jpeg_idct_islow,0.470394,0.470394,0.0,0.0,libjpeg.so.9,jpeg_idct_islow,[Unknown],0x27860
decode_mcu,0.132023,0.132023,0.0,0.0,libjpeg.so.9,decode_mcu,[Unknown],0x18840
__memset_avx2_unaligned_erms,0.054509,0.054509,0.0,0.0,libc.so.6,__memset_avx2_unaligned_erms,memset-vec-unaligned-erms.S,0x18bd90
decompress_onepass,0.052001,0.052001,0.0,0.0,libjpeg.so.9,decompress_onepass,[Unknown],0x15360
PyObject_IsTrue,0.012001,0.012001,0.0,0.0,python3.8,PyObject_IsTrue,object.c,0x4f21e0
jpeg_fill_bit_buffer,0.012000,0.012000,0.0,0.0,libjpeg.so.9,jpeg_fill_bit_buffer,[Unknown],0x17250
