Function,CPU Time,CPU Time:Effective Time,CPU Time:Spin Time,CPU Time:Overhead Time,Module,Function (Full),Source File,Start Address
jpeg_idct_16x16,2.252429,2.252429,0.0,0.0,libjpeg.so.9,jpeg_idct_16x16,[Unknown],0x2b2f0
ycc_rgb_convert,1.192964,1.192964,0.0,0.0,libjpeg.so.9,ycc_rgb_convert,[Unknown],0x15d10
__memmove_avx_unaligned_erms,1.178002,1.178002,0.0,0.0,libc.so.6,__memmove_avx_unaligned_erms,memmove-vec-unaligned-erms.S,0x18b910
ImagingUnpackRGB,0.603961,0.603961,0.0,0.0,_imaging.cpython-38-x86_64-linux-gnu.so,ImagingUnpackRGB,[Unknown],0x61ac0
__libc_calloc,0.538675,0.538675,0.0,0.0,libc.so.6,__libc_calloc,malloc.c,0x9bb10
jpeg_idct_islow,0.484592,0.484592,0.0,0.0,libjpeg.so.9,jpeg_idct_islow,[Unknown],0x27860
decompress_onepass,0.100002,0.100002,0.0,0.0,libjpeg.so.9,decompress_onepass,[Unknown],0x15360
decode_mcu,0.091998,0.091998,0.0,0.0,libjpeg.so.9,decode_mcu,[Unknown],0x18840
__memset_avx2_unaligned_erms,0.023987,0.023987,0.0,0.0,libc.so.6,__memset_avx2_unaligned_erms,memset-vec-unaligned-erms.S,0x18bd90
jpeg_fill_bit_buffer,0.020018,0.020018,0.0,0.0,libjpeg.so.9,jpeg_fill_bit_buffer,[Unknown],0x17250
method_vectorcall_FASTCALL,0.012019,0.012019,0.0,0.0,python3.8,method_vectorcall_FASTCALL,descrobject.c,0x438a95
