Function,CPU Time,CPU Time:Effective Time,CPU Time:Spin Time,CPU Time:Overhead Time,Module,Function (Full),Source File,Start Address
jpeg_idct_16x16,2.164069,2.164069,0.0,0.0,libjpeg.so.9,jpeg_idct_16x16,[Unknown],0x2b2f0
ycc_rgb_convert,1.218373,1.218373,0.0,0.0,libjpeg.so.9,ycc_rgb_convert,[Unknown],0x15d10
__memmove_avx_unaligned_erms,1.165994,1.165994,0.0,0.0,libc.so.6,__memmove_avx_unaligned_erms,memmove-vec-unaligned-erms.S,0x18b910
ImagingUnpackRGB,0.813616,0.813616,0.0,0.0,_imaging.cpython-38-x86_64-linux-gnu.so,ImagingUnpackRGB,[Unknown],0x61ac0
__libc_calloc,0.517433,0.517433,0.0,0.0,libc.so.6,__libc_calloc,malloc.c,0x9bb10
jpeg_idct_islow,0.506432,0.506432,0.0,0.0,libjpeg.so.9,jpeg_idct_islow,[Unknown],0x27860
decode_mcu,0.088008,0.088008,0.0,0.0,libjpeg.so.9,decode_mcu,[Unknown],0x18840
decompress_onepass,0.085464,0.085464,0.0,0.0,libjpeg.so.9,decompress_onepass,[Unknown],0x15360
__memset_avx2_unaligned_erms,0.027999,0.027999,0.0,0.0,libc.so.6,__memset_avx2_unaligned_erms,memset-vec-unaligned-erms.S,0x18bd90
method_vectorcall_FASTCALL,0.024010,0.024010,0.0,0.0,python3.8,method_vectorcall_FASTCALL,descrobject.c,0x438a95
jpeg_fill_bit_buffer,0.019998,0.019998,0.0,0.0,libjpeg.so.9,jpeg_fill_bit_buffer,[Unknown],0x17250
_copy,0.012004,0.012004,0.0,0.0,_imaging.cpython-38-x86_64-linux-gnu.so,_copy,[Unknown],0x34750
load,0.008002,0.008002,0.0,0.0,ImageFile.py,ImageFile@load(self),ImageFile.py,0x3b6c870
process_data_simple_main,0.007999,0.007999,0.0,0.0,libjpeg.so.9,process_data_simple_main,[Unknown],0x1ad90
bytes_concat,0.007996,0.007996,0.0,0.0,python3.8,bytes_concat,bytesobject.c,0x43bece
