Function,CPU Time,CPU Time:Effective Time,CPU Time:Spin Time,CPU Time:Overhead Time,Module,Function (Full),Source File,Start Address
jpeg_idct_16x16,1.992557,1.992557,0.0,0.0,libjpeg.so.9,jpeg_idct_16x16,[Unknown],0x2b2f0
ycc_rgb_convert,1.228866,1.228866,0.0,0.0,libjpeg.so.9,ycc_rgb_convert,[Unknown],0x15d10
__memmove_avx_unaligned_erms,1.189999,1.189999,0.0,0.0,libc.so.6,__memmove_avx_unaligned_erms,memmove-vec-unaligned-erms.S,0x18b910
jpeg_idct_islow,0.703961,0.703961,0.0,0.0,libjpeg.so.9,jpeg_idct_islow,[Unknown],0x27860
ImagingUnpackRGB,0.680570,0.680570,0.0,0.0,_imaging.cpython-38-x86_64-linux-gnu.so,ImagingUnpackRGB,[Unknown],0x61ac0
__libc_calloc,0.551075,0.551075,0.0,0.0,libc.so.6,__libc_calloc,malloc.c,0x9bb10
decompress_onepass,0.076005,0.076005,0.0,0.0,libjpeg.so.9,decompress_onepass,[Unknown],0x15360
decode_mcu,0.071997,0.071997,0.0,0.0,libjpeg.so.9,decode_mcu,[Unknown],0x18840
__memset_avx2_unaligned_erms,0.040008,0.040008,0.0,0.0,libc.so.6,__memset_avx2_unaligned_erms,memset-vec-unaligned-erms.S,0x18bd90
jpeg_fill_bit_buffer,0.036007,0.036007,0.0,0.0,libjpeg.so.9,jpeg_fill_bit_buffer,[Unknown],0x17250
