Function,CPU Time,CPU Time:Effective Time,CPU Time:Spin Time,CPU Time:Overhead Time,Module,Function (Full),Source File,Start Address
jpeg_idct_16x16,2.164661,2.164661,0.0,0.0,libjpeg.so.9,jpeg_idct_16x16,[Unknown],0x2b2f0
__memmove_avx_unaligned_erms,1.179989,1.179989,0.0,0.0,libc.so.6,__memmove_avx_unaligned_erms,memmove-vec-unaligned-erms.S,0x18b910
ycc_rgb_convert,1.161621,1.161621,0.0,0.0,libjpeg.so.9,ycc_rgb_convert,[Unknown],0x15d10
ImagingUnpackRGB,0.584856,0.584856,0.0,0.0,_imaging.cpython-38-x86_64-linux-gnu.so,ImagingUnpackRGB,[Unknown],0x61ac0
jpeg_idct_islow,0.508839,0.508839,0.0,0.0,libjpeg.so.9,jpeg_idct_islow,[Unknown],0x27860
__libc_calloc,0.465353,0.465353,0.0,0.0,libc.so.6,__libc_calloc,malloc.c,0x9bb10
decode_mcu,0.075999,0.075999,0.0,0.0,libjpeg.so.9,decode_mcu,[Unknown],0x18840
decompress_onepass,0.071993,0.071993,0.0,0.0,libjpeg.so.9,decompress_onepass,[Unknown],0x15360
__memset_avx2_unaligned_erms,0.055997,0.055997,0.0,0.0,libc.so.6,__memset_avx2_unaligned_erms,memset-vec-unaligned-erms.S,0x18bd90
jpeg_fill_bit_buffer,0.020003,0.020003,0.0,0.0,libjpeg.so.9,jpeg_fill_bit_buffer,[Unknown],0x17250
__GI___libc_malloc,0.008007,0.008007,0.0,0.0,libc.so.6,__GI___libc_malloc,malloc.c,0x9a0e0
_decode,0.008001,0.008001,0.0,0.0,_imaging.cpython-38-x86_64-linux-gnu.so,_decode,[Unknown],0x1bd40
