Function,CPU Time,CPU Time:Effective Time,CPU Time:Spin Time,CPU Time:Overhead Time,Module,Function (Full),Source File,Start Address
jpeg_idct_16x16,2.077231,2.077231,0.0,0.0,libjpeg.so.9,jpeg_idct_16x16,[Unknown],0x2b2f0
__memmove_avx_unaligned_erms,1.187997,1.187997,0.0,0.0,libc.so.6,__memmove_avx_unaligned_erms,memmove-vec-unaligned-erms.S,0x18b910
ycc_rgb_convert,1.168801,1.168801,0.0,0.0,libjpeg.so.9,ycc_rgb_convert,[Unknown],0x15d10
jpeg_idct_islow,0.642387,0.642387,0.0,0.0,libjpeg.so.9,jpeg_idct_islow,[Unknown],0x27860
ImagingUnpackRGB,0.561574,0.561574,0.0,0.0,_imaging.cpython-38-x86_64-linux-gnu.so,ImagingUnpackRGB,[Unknown],0x61ac0
__libc_calloc,0.535497,0.535497,0.0,0.0,libc.so.6,__libc_calloc,malloc.c,0x9bb10
decompress_onepass,0.143984,0.143984,0.0,0.0,libjpeg.so.9,decompress_onepass,[Unknown],0x15360
decode_mcu,0.115987,0.115987,0.0,0.0,libjpeg.so.9,decode_mcu,[Unknown],0x18840
__memset_avx2_unaligned_erms,0.031987,0.031987,0.0,0.0,libc.so.6,__memset_avx2_unaligned_erms,memset-vec-unaligned-erms.S,0x18bd90
jpeg_fill_bit_buffer,0.028001,0.028001,0.0,0.0,libjpeg.so.9,jpeg_fill_bit_buffer,[Unknown],0x17250
load,0.012016,0.012016,0.0,0.0,ImageFile.py,ImageFile@load(self),ImageFile.py,0x3b97870
