Function,CPU Time,CPU Time:Effective Time,CPU Time:Spin Time,CPU Time:Overhead Time,Module,Function (Full),Source File,Start Address
jpeg_idct_16x16,2.179042,2.179042,0.0,0.0,libjpeg.so.9,jpeg_idct_16x16,[Unknown],0x2b2f0
ycc_rgb_convert,1.270397,1.270397,0.0,0.0,libjpeg.so.9,ycc_rgb_convert,[Unknown],0x15d10
__memmove_avx_unaligned_erms,1.178001,1.178001,0.0,0.0,libc.so.6,__memmove_avx_unaligned_erms,memmove-vec-unaligned-erms.S,0x18b910
jpeg_idct_islow,0.517563,0.517563,0.0,0.0,libjpeg.so.9,jpeg_idct_islow,[Unknown],0x27860
__libc_calloc,0.469566,0.469566,0.0,0.0,libc.so.6,__libc_calloc,malloc.c,0x9bb10
ImagingUnpackRGB,0.456021,0.456021,0.0,0.0,_imaging.cpython-38-x86_64-linux-gnu.so,ImagingUnpackRGB,[Unknown],0x61ac0
decompress_onepass,0.124022,0.124022,0.0,0.0,libjpeg.so.9,decompress_onepass,[Unknown],0x15360
decode_mcu,0.110473,0.110473,0.0,0.0,libjpeg.so.9,decode_mcu,[Unknown],0x18840
method_vectorcall_FASTCALL,0.012010,0.012010,0.0,0.0,python3.8,method_vectorcall_FASTCALL,descrobject.c,0x438a95
jpeg_fill_bit_buffer,0.011998,0.011998,0.0,0.0,libjpeg.so.9,jpeg_fill_bit_buffer,[Unknown],0x17250
__memset_avx2_unaligned_erms,0.010443,0.010443,0.0,0.0,libc.so.6,__memset_avx2_unaligned_erms,memset-vec-unaligned-erms.S,0x18bd90
